date,state,flip,cases,deaths
26/07/2020,Arequipa,4,101,0
27/07/2020,Arequipa,4,495,0
28/07/2020,Arequipa,4,148,0
29/07/2020,Arequipa,4,361,0
30/07/2020,Arequipa,4,542,0
31/07/2020,Arequipa,4,639,0
1/08/2020,Arequipa,4,655,0
2/08/2020,Arequipa,4,91,0
3/08/2020,Arequipa,4,670,0
4/08/2020,Arequipa,4,597,0
5/08/2020,Arequipa,4,824,0
6/08/2020,Arequipa,4,837,0
7/08/2020,Arequipa,4,663,0
8/08/2020,Arequipa,4,607,0
9/08/2020,Arequipa,4,107,0
10/08/2020,Arequipa,4,657,0
11/08/2020,Arequipa,4,683,0
12/08/2020,Arequipa,4,756,0
13/08/2020,Arequipa,4,853,0
14/08/2020,Arequipa,4,686,0
15/08/2020,Arequipa,4,486,0
16/08/2020,Arequipa,4,108,0
17/08/2020,Arequipa,4,680,0
18/08/2020,Arequipa,4,608,0
19/08/2020,Arequipa,4,872,0
20/08/2020,Arequipa,4,1372,0
21/08/2020,Arequipa,4,738,0
22/08/2020,Arequipa,4,879,0
23/08/2020,Arequipa,4,50,0
28/03/2020,Ayacucho,5,1,0
4/04/2020,Ayacucho,5,2,0
5/04/2020,Ayacucho,5,2,0
8/04/2020,Ayacucho,5,3,0
9/04/2020,Ayacucho,5,2,0
10/04/2020,Ayacucho,5,2,0
13/04/2020,Ayacucho,5,5,0
14/04/2020,Ayacucho,5,5,0
15/04/2020,Ayacucho,5,4,0
16/04/2020,Ayacucho,5,1,0
17/04/2020,Ayacucho,5,4,0
19/04/2020,Ayacucho,5,3,0
20/04/2020,Ayacucho,5,3,0
21/04/2020,Ayacucho,5,1,0
22/04/2020,Ayacucho,5,2,0
23/04/2020,Ayacucho,5,2,0
24/04/2020,Ayacucho,5,5,0
25/04/2020,Ayacucho,5,7,0
26/04/2020,Ayacucho,5,13,0
27/04/2020,Ayacucho,5,18,0
28/04/2020,Ayacucho,5,13,0
29/04/2020,Ayacucho,5,32,0
30/04/2020,Ayacucho,5,21,0
1/05/2020,Ayacucho,5,26,0
2/05/2020,Ayacucho,5,20,0
3/05/2020,Ayacucho,5,5,0
4/05/2020,Ayacucho,5,27,0
5/05/2020,Ayacucho,5,18,0
6/05/2020,Ayacucho,5,23,0
7/05/2020,Ayacucho,5,15,0
8/05/2020,Ayacucho,5,25,0
9/05/2020,Ayacucho,5,11,0
10/05/2020,Ayacucho,5,2,0
11/05/2020,Ayacucho,5,15,0
12/05/2020,Ayacucho,5,19,0
13/05/2020,Ayacucho,5,20,0
14/05/2020,Ayacucho,5,13,0
15/05/2020,Ayacucho,5,50,0
16/05/2020,Ayacucho,5,40,0
17/05/2020,Ayacucho,5,9,0
18/05/2020,Ayacucho,5,15,0
19/05/2020,Ayacucho,5,17,0
20/05/2020,Ayacucho,5,17,0
21/05/2020,Ayacucho,5,22,0
22/05/2020,Ayacucho,5,41,0
23/05/2020,Ayacucho,5,36,0
24/05/2020,Ayacucho,5,6,0
25/05/2020,Ayacucho,5,26,0
26/05/2020,Ayacucho,5,24,0
27/05/2020,Ayacucho,5,53,0
28/05/2020,Ayacucho,5,30,0
29/05/2020,Ayacucho,5,17,0
30/05/2020,Ayacucho,5,51,0
31/05/2020,Ayacucho,5,4,0
1/06/2020,Ayacucho,5,33,0
2/06/2020,Ayacucho,5,27,0
3/06/2020,Ayacucho,5,18,0
4/06/2020,Ayacucho,5,40,0
5/06/2020,Ayacucho,5,18,0
6/06/2020,Ayacucho,5,29,0
7/06/2020,Ayacucho,5,10,0
8/06/2020,Ayacucho,5,41,0
9/06/2020,Ayacucho,5,32,0
10/06/2020,Ayacucho,5,20,0
11/06/2020,Ayacucho,5,38,0
12/06/2020,Ayacucho,5,37,0
13/06/2020,Ayacucho,5,60,0
14/06/2020,Ayacucho,5,8,0
15/06/2020,Ayacucho,5,60,0
16/06/2020,Ayacucho,5,28,0
17/06/2020,Ayacucho,5,41,0
18/06/2020,Ayacucho,5,42,0
19/06/2020,Ayacucho,5,77,0
20/06/2020,Ayacucho,5,21,0
21/06/2020,Ayacucho,5,12,0
22/06/2020,Ayacucho,5,34,0
23/06/2020,Ayacucho,5,45,0
24/06/2020,Ayacucho,5,47,0
25/06/2020,Ayacucho,5,29,0
26/06/2020,Ayacucho,5,30,0
27/06/2020,Ayacucho,5,27,0
28/06/2020,Ayacucho,5,11,0
29/06/2020,Ayacucho,5,32,0
30/06/2020,Ayacucho,5,43,0
