date,state,fips,cases,deaths
2020-04-15,Arequipa,ARE,27,0
2020-04-15,Ayacucho,AYA,4,0
2020-04-15,Cajamarca,CAJ,10,0
2020-04-15,Callao,CAL,99,0
2020-04-15,Cusco,CUS,1,0
2020-04-15,Huancavelica,HUA,4,0
2020-04-15,Huanuco,HCO,14,0
2020-04-15,Ica,ICA,14,0
2020-04-15,Junin,JUN,12,0
2020-04-15,La Libertad,LIB,27,0
2020-04-15,Lambayeque,LAM,176,0
2020-04-15,Lima,LIM,746,0
2020-04-15,Lima Region,LRE,30,0
2020-04-15,Loreto,LOR,12,0
2020-04-15,Madre de Dios,MDI,7,0
2020-04-15,Moquegua,MOQ,4,0
2020-04-15,Pasco,PAS,3,0
2020-04-15,Piura,PIU,77,0
2020-04-15,Puno,PUN,4,0
2020-04-15,San Martin,SMA,13,0
2020-04-15,Tumbes,TUM,18,0
2020-04-15,Ucayali,UCA,22,0
2020-04-16,Amazonas,AMA,3,0
2020-04-16,Ancash,ANC,37,0
2020-04-16,Apurimac,APU,4,0
2020-04-16,Arequipa,ARE,41,0
2020-04-16,Ayacucho,AYA,1,0
2020-04-16,Cajamarca,CAJ,6,0
2020-04-16,Callao,CAL,100,0
2020-04-16,Cusco,CUS,9,0
2020-04-16,Huancavelica,HUA,6,0
2020-04-16,Huanuco,HCO,11,0
2020-04-16,Ica,ICA,23,0
2020-04-16,Junin,JUN,28,0
2020-04-16,La Libertad,LIB,25,0
2020-04-16,Lambayeque,LAM,86,0
2020-04-16,Lima,LIM,813,0
2020-04-16,Lima Region,LRE,23,0
2020-04-16,Loreto,LOR,8,0
2020-04-16,Madre de Dios,MDI,6,0
2020-04-16,Moquegua,MOQ,5,0
2020-04-16,Pasco,PAS,3,0
2020-04-16,Piura,PIU,52,0
2020-04-16,Puno,PUN,2,0
2020-04-16,San Martin,SMA,11,0
2020-04-16,Tumbes,TUM,12,0
2020-04-16,Ucayali,UCA,7,0
2020-04-17,Amazonas,AMA,1,0
2020-04-17,Ancash,ANC,25,0
2020-04-17,Apurimac,APU,6,0
2020-04-17,Arequipa,ARE,12,0
2020-04-17,Ayacucho,AYA,4,0
2020-04-17,Cajamarca,CAJ,10,0
2020-04-17,Callao,CAL,116,0
2020-04-17,Cusco,CUS,12,0
2020-04-17,Huancavelica,HUA,1,0
2020-04-17,Huanuco,HCO,38,0
2020-04-17,Ica,ICA,22,0
2020-04-17,Junin,JUN,20,0
2020-04-17,La Libertad,LIB,26,0
2020-04-17,Lambayeque,LAM,77,0
2020-04-17,Lima,LIM,541,0
2020-04-17,Lima Region,LRE,31,0
2020-04-17,Loreto,LOR,58,0
2020-04-17,Madre de Dios,MDI,5,0
2020-04-17,Moquegua,MOQ,5,0
2020-04-17,Pasco,PAS,3,0
2020-04-17,Piura,PIU,49,0
2020-04-17,Puno,PUN,4,0
2020-04-17,San Martin,SMA,12,0
2020-04-17,Tumbes,TUM,7,0
2020-04-17,Ucayali,UCA,15,0
2020-04-18,Amazonas,AMA,3,0
2020-04-18,Ancash,ANC,56,0
2020-04-18,Apurimac,APU,5,0
2020-04-18,Arequipa,ARE,33,0
2020-04-18,Cajamarca,CAJ,7,0
2020-04-18,Callao,CAL,107,0
2020-04-18,Cusco,CUS,15,0
2020-04-18,Huanuco,HCO,20,0
2020-04-18,Ica,ICA,19,0
2020-04-18,Junin,JUN,14,0
2020-04-18,La Libertad,LIB,27,0
2020-04-18,Lambayeque,LAM,48,0
2020-04-18,Lima,LIM,835,0
2020-04-18,Lima Region,LRE,31,0
2020-04-18,Loreto,LOR,71,0
2020-04-18,Madre de Dios,MDI,4,0
2020-04-18,Pasco,PAS,16,0
2020-04-18,Piura,PIU,42,0
2020-04-18,Puno,PUN,9,0
2020-04-18,San Martin,SMA,12,0
2020-04-18,Tumbes,TUM,6,0
2020-04-18,Ucayali,UCA,19,0
2020-04-19,Amazonas,AMA,1,0
2020-04-19,Ancash,ANC,10,0
2020-04-19,Arequipa,ARE,3,0
2020-04-19,Ayacucho,AYA,3,0
2020-04-19,Cajamarca,CAJ,2,0
2020-04-19,Callao,CAL,78,0
2020-04-19,Huancavelica,HUA,2,0
2020-04-19,Huanuco,HCO,4,0
2020-04-19,Ica,ICA,4,0
2020-04-19,Junin,JUN,5,0
2020-04-19,La Libertad,LIB,10,0
2020-04-19,Lambayeque,LAM,27,0
2020-04-19,Lima,LIM,799,0
2020-04-19,Lima Region,LRE,38,0
2020-04-19,Loreto,LOR,42,0
2020-04-19,Moquegua,MOQ,1,0
2020-04-19,Pasco,PAS,2,0
2020-04-19,Piura,PIU,12,0
2020-04-19,San Martin,SMA,1,0
2020-04-19,Tumbes,TUM,6,0
2020-04-19,Ucayali,UCA,22,0
2020-04-20,Amazonas,AMA,3,0
2020-04-20,Ancash,ANC,34,0
2020-04-20,Apurimac,APU,1,0
2020-04-20,Arequipa,ARE,28,0
2020-04-20,Ayacucho,AYA,3,0
2020-04-20,Cajamarca,CAJ,11,0
2020-04-20,Callao,CAL,374,0
2020-04-20,Cusco,CUS,15,0
2020-04-20,Huancavelica,HUA,3,0
2020-04-20,Huanuco,HCO,7,0
2020-04-20,Ica,ICA,28,0
2020-04-20,Junin,JUN,19,0
2020-04-20,La Libertad,LIB,53,0
2020-04-20,Lambayeque,LAM,146,0
2020-04-20,Lima,LIM,1073,0
2020-04-20,Lima Region,LRE,51,0
2020-04-20,Loreto,LOR,42,0
2020-04-20,Madre de Dios,MDI,5,0
2020-04-20,Moquegua,MOQ,9,0
2020-04-20,Pasco,PAS,13,0
2020-04-20,Piura,PIU,54,0
2020-04-20,Puno,PUN,10,0
2020-04-20,San Martin,SMA,7,0
2020-04-20,Tumbes,TUM,17,0
2020-04-20,Ucayali,UCA,26,0
2020-04-21,Amazonas,AMA,7,0
2020-04-21,Ancash,ANC,45,0
2020-04-21,Apurimac,APU,8,0
2020-04-21,Arequipa,ARE,28,0
2020-04-21,Ayacucho,AYA,1,0
2020-04-21,Cajamarca,CAJ,9,0
2020-04-21,Callao,CAL,432,0
2020-04-21,Cusco,CUS,7,0
2020-04-21,Huancavelica,HUA,1,0
2020-04-21,Huanuco,HCO,10,0
2020-04-21,Ica,ICA,22,0
2020-04-21,Junin,JUN,28,0
2020-04-21,La Libertad,LIB,45,0
2020-04-21,Lambayeque,LAM,133,0
2020-04-21,Lima,LIM,1197,0
2020-04-21,Lima Region,LRE,51,0
2020-04-21,Loreto,LOR,19,0
2020-04-21,Madre de Dios,MDI,6,0
2020-04-21,Moquegua,MOQ,8,0
2020-04-21,Pasco,PAS,12,0
2020-04-21,Piura,PIU,50,0
2020-04-21,Puno,PUN,16,0
2020-04-21,San Martin,SMA,5,0
2020-04-21,Tumbes,TUM,2,0
2020-04-21,Ucayali,UCA,23,0
2020-04-22,Amazonas,AMA,2,0
2020-04-22,Ancash,ANC,30,0
2020-04-22,Apurimac,APU,4,0
